Original Sentence	Modified Sentence	Case Rule Applied	Source of Data
Ẹ kú ìdúró ẹ̀yin ọmọ ẹgbẹ́, ẹ jẹ́ á wọlé.	E ku iduro eyin omo egbe, e je a wole.	remove_accents_and_underdots	greetings
Ẹ kú ìdúró ẹ̀yin èyàn, a ó bẹ̀rẹ̀ láìpẹ́.	Ẹ ku iduro ẹyin eyan, a o bẹrẹ laipẹ.	remove_only_accents	greetings
Ẹ kú ìdúró olúyoko, à ń gbádùn iṣẹ́ yin.	Ẹ ku iduro oluyoko, a n gbadun iṣẹ yin.	remove_only_accents	greetings
Ẹ kú ìdúró, a tọrọ àforíjì fún pípẹ́ wa.	Ẹ ku iduro, a tọrọ aforiji fun pipẹ	remove_only_accents_and_any_random_word	greetings
Ẹ kú iwájú ìya wa, ṣé wọ́n ti bẹ̀rẹ̀?	E ku iwaju iya wa, se won ti bere?	remove_accents_and_underdots	greetings
E ti débí ṣá, ẹ kú iwájú o.	E ti debi sa, e ku iwaju o.	remove_accents_and_underdots	greetings
Ẹ kú iwáju,́ Ṣé a ò da yín dúró báyìí?	ku iwaju, Ṣe a o da yin duro bayii?	remove_only_accents_and_any_random_word	greetings
Ẹ kú iwájú, alága ńkọ́?	E ku iwaju, alaga nko?	remove_accents_and_underdots	greetings
Ẹ kú iwájú ìya Adéọlá, kí lẹ ti ṣe?	lẹ ku iwaju iya Adeọla, ki Ẹ ti ṣe?	remove_only_accents_and_swap_word	greetings
Ẹ ti ń lọ niyẹ́n? ọkọ̀ á rèfó o.	E ti n lo niyen? oko a refo o.	remove_accents_and_underdots	greetings
A ó ma fojú sónà láti ríi yín, ọkọ̀ á rẹ̀fó.	A o ma foju sona lati rii yin, ọkọ a rẹfo.	remove_only_accents	greetings
Ìyá, a ti ń lọ, ó dá a, ọkọ̀ á rèfó.	Iya, a ti n lo, o da a, oko a refo.	remove_accents_and_underdots	greetings
Ẹ ṣe jẹ́jẹ́ o, ọkọ̀ á rèfó.	E se jeje o, oko a refo.	remove_accents_and_underdots	greetings
Ẹ kílé o, ọkọ̀ á rèfó.	E kile o, oko a refo.	remove_accents_and_underdots	greetings
Wọ́n ní kí n kí yín pé ọkọ̀’re lẹ̀ ó wọ̀ o.	Wọn ni ki n ki yin pe ọkọre lẹ o wọ o.	remove_only_accents	greetings
Ẹ ń lọ ọjà lọ́la àbí? ọkọ̀’re lẹ̀ ó wọ̀ o.	wọ n lọ ọja lọla abi? ọkọre lẹ o Ẹ o.	remove_only_accents_and_swap_word	greetings
A fẹ́ rìnrìnàjò lọ́la o! ó dáa, Ọkọ̀’re lẹ̀ ó wọ̀ o.	A fẹ rinrinajo lọla o! o daa, Ọkọre lẹ o wọ o.	remove_only_accents	greetings
Ó dábọ̀ o, ọkọ̀’re lẹ̀ ó wọ̀ o.	O dabọ o, ọkọre lẹ o wọ o.	remove_only_accents	greetings
Ẹ ṣeun o, ọkọ̀’re lẹ̀ ó wọ̀ o.	E seun o, oko’re le o wo o.	remove_accents_and_underdots	greetings
Ẹ bá mi kí wọn lọ́hùn o, àlọ yóò dára, àbò yóò dùn.	E ba mi ki won lohun o, alo yoo dara, abo yoo dun.	remove_accents_and_underdots	greetings
Ẹ mú ǹkan bọ̀ o, àlọ yóò dára, àbọ̀ yóò dùn.	Ẹ mu nkan bọ o, yoo dara, abọ yoo dun.	remove_only_accents_and_any_random_word	greetings
Ẹ má pẹ̀ o, àlọ yóò dára, àbọ̀ yóò dùn.	Ẹ ma pẹ o, alọ yoo dara, abọ yoo dun.	remove_only_accents	greetings
Àlọ yóò dára, àbọ̀ yóò dùn, ẹ ò ní lọ àlọọ̀dé.	Alọ yoo dara, abọ yoo dun, o ni lọ alọọde.	remove_only_accents_and_any_random_word	greetings
Mi ò mọ̀ pé wọ́n ti gbéra, àlọ yóò dára, àbọ̀ yóò dùn.	Mi o mọ pe wọn ti gbera, alọ dun. dara, abọ yoo yoo	remove_only_accents_and_swap_word	greetings
Mo ti gbọ́ nípa ẹgbẹ́ tuntun náà, àjọ kò tú o.	Mo gbọ nipa ẹgbẹ tuntun naa, ajọ ko tu o.	remove_only_accents_and_any_random_word	greetings
Òní ni àjọ̀dún ẹgbẹ́ yín? Àjọ kò tú o.	Oni ajọdun ẹgbẹ yin? Ajọ ko tu o.	remove_only_accents_and_any_random_word	greetings
Mo kí gbogbo ọmọ ẹgbẹ́ o, àjọ kò tú o.	Mo ki gbogbo ọmọ ẹgbẹ o, ajọ ko tu o.	remove_only_accents	greetings
Àjọ kò tú, ọmọ ẹgbẹ́ á máa lé o.	Ajọ ko tu, ọmọ ẹgbẹ a maa le o.	remove_only_accents	greetings
Inú mi dùn wí pé ẹ gbàmí lálejò, àjọ kò tú o.	Inu mi dun wi pe e gbami lalejo, ajo ko tu o.	remove_accents_and_underdots	greetings
Àwá ti ṣetán ní tiwa o, ẹ máa kálọ.	Awa ṣetan ni tiwa o, ẹ maa kalọ.	remove_only_accents_and_any_random_word	greetings
A ti wà lóde o, ẹ máa kálọ.	A ti wa lode o, e maa kalo.	remove_accents_and_underdots	greetings
Ẹ máa kálọ níbi ìfinijoyè ọba tuntun.	Ẹ maa kalọ nibi ifinijoye ọba tuntun.	remove_only_accents	greetings
Ìpàdé ti yá nìyẹn o, ẹ máa kálọ.	Ipade ti ya niyen o, e maa kalo.	remove_accents_and_underdots	greetings
Mo ti fi ìwé àpèjẹ náà sílẹ̀ fun yín, ẹ máa kálọ.	Mo ti fi iwe apeje naa sile fun yin, e maa kalo.	remove_accents_and_underdots	greetings
Ọmọ náà ń sun. Mo gbọ́, àsùn jí.	Ọmọ naa n sun. Mo gbọ, asun ji.	remove_only_accents	greetings
Bàbá ṣì ń rẹjú kẹ̀? Àsùn ji ó.	ji ṣi n rẹju kẹ? Asun Baba o.	remove_only_accents_and_swap_word	greetings
Mo fẹ́ sun. ó dáa, àsùn jí.	Mo fe sun. o daa, asun ji.	remove_accents_and_underdots	greetings
Ó dàárọ̀ ẹ̀yin ọ̀rẹ́, àsùn jí.	O ọrẹ, ẹyin daarọ asun ji.	remove_only_accents_and_swap_word	greetings
Ẹ má pẹ̀ dé lọ́la o, àsùn jí.	E ma pe de lola o, asun ji.	remove_accents_and_underdots	greetings
Mo bá a yín dárò o, ajé yóò di.	Mo ba a yin daro o, aje yoo di.	remove_accents_and_underdots	greetings
Mo gbọ́ pé wọ́n já ìsọ yín, ajé yóò di.	Mo gbo pe won ja iso yin, aje yoo di.	remove_accents_and_underdots	greetings
Gbogbo rẹ̀ ti bàjẹ́ tán, ajé yóò di.	Gbogbo re ti baje tan, aje yoo di.	remove_accents_and_underdots	greetings
Ẹ má rò ó o, ajé yóò di.	E ma ro o o, aje yoo di.	remove_accents_and_underdots	greetings
Iná jó dúkìya yín kẹ̀? Ajé yóò di o.	Ina jo dukiya yin ke? Aje yoo di o.	remove_accents_and_underdots	greetings
Olóhun ṣeun, mo mọ̀ ọ́ rìn.	Olohun seun, mo mo o rin.	remove_accents_and_underdots	greetings
Pé mo bá a yín nídi oúnjẹ, mo mọ̀ ọ́ rin.	Pe mo ba a yin nidi ounje, mo mo o rin.	remove_accents_and_underdots	greetings
Mo mọ̀ ọ́ rìn, ẹ jọ̀wọ́ ẹ má lọ mọ́.	Mo mo o rin, e jowo e ma lo mo.	remove_accents_and_underdots	greetings
Ó ti ẹ̀ ti dá a, ẹ mọ̀ ọ́ rìn.	O ti e ti da a, e mo o rin.	remove_accents_and_underdots	greetings
A mọ̀ ọ́ rin, oúnjẹ ti jiná.	A mo o rin, ounje ti jina.	remove_accents_and_underdots	greetings
Kò sí àní-àní, mo báa yín re.	Ko si ani-ani, mo baa yin re.	remove_only_accents	greetings
Ẹ̀wà rè é, mo báa yín re.	Ẹwa re e, mo baa yin re.	remove_only_accents	greetings
Òkèlè lẹ̀ ń jẹ, mo báa yín re.	Okele le n je, mo baa yin re.	remove_accents_and_underdots	greetings
Àsìkò àtijẹun ti tó, mo báa yín re.	Asiko atijeun ti to, mo baa yin re.	remove_accents_and_underdots	greetings
Mo báa yín re, Ẹ gbé oúnjẹ tèmi náà wá.	Mo baa yin re, E gbe ounje temi naa wa.	remove_accents_and_underdots	greetings
Ẹ kú ìdúró baba! Ẹ rè wá o.	E ku iduro baba! E re wa o.	remove_accents_and_underdots	greetings
Ẹ kú ijókò ẹ̀yin ẹgbẹ́! Ẹ rè wá o.	E ku ijoko eyin egbe! E re wa o.	remove_accents_and_underdots	greetings
Ẹ kú àpérò o! Ẹ rè wá o.	ku Ẹ apero o! Ẹ re wa o.	remove_only_accents_and_swap_word	greetings
Àwá ń lọ o! ẹ rè wá o.	Awa o! lọ n ẹ re wa o.	remove_only_accents_and_swap_word	greetings
Ẹ kú ìkàlẹ̀! Ẹ rè wá o.	E ku ikale! E re wa o.	remove_accents_and_underdots	greetings
Ẹ kú ìdìde o, àdélé báre o.	E ku idide o, adele bare o.	remove_accents_and_underdots	greetings
Ẹ kú àyẹ́sí o, àdélé báre.	E ku ayesi o, adele bare.	remove_accents_and_underdots	greetings
Ẹ kí àwọn ọmọ o, àdélé báre.	E ki awon omo o, adele bare.	remove_accents_and_underdots	greetings
Àdélé báre  ọlọ́hun ò ní kọ àtúnrí wa o.	Adele bare  ọlọhun o ni kọ atunri wa o.	remove_only_accents	greetings
A mọ rírì yín o, àdélé báre.	A mo riri yin o, adele bare.	remove_accents_and_underdots	greetings
Ẹ kú ìdìde, tiyín náà á dé.	E ku idide, tiyin naa a de.	remove_accents_and_underdots	greetings
Gbogbo yín la kí o, ẹ kú ìdìde.	Gbogbo la ki o, ẹ ku idide.	remove_only_accents_and_any_random_word	greetings
Ṣé pẹ́yin náà wá? Ẹ kú ìdìde.	Ṣe pẹyin naa wa? Ẹ ku idide.	remove_only_accents	greetings
Ẹ kú ìdìde, ire á kárí.	E ku idide, ire a kari.	remove_accents_and_underdots	greetings
Ẹ kú ìdìde, ọkọ̀ á réfò.	Ẹ ku refo. ọkọ a idide,	remove_only_accents_and_swap_word	greetings
Ìgbádùn lẹ wà o, ẹ kú ọlá.	Igbadun le wa o, e ku ola.	remove_accents_and_underdots	greetings
Ẹ kú ọlá o baba!	ku ọla o baba!	remove_only_accents_and_any_random_word	greetings
Ìhàyín lẹ wà? Ẹ kú ọlá.	Ihayin le wa? E ku ola.	remove_accents_and_underdots	greetings
Olúwaà mi o, ẹ kú ọlá.	mi o, ẹ ku ọla.	remove_only_accents_and_any_random_word	greetings
Ẹ kú ọlá bàba olóyè.	Ẹ ọla baba oloye.	remove_only_accents_and_any_random_word	greetings
Ẹ kú àrótì, a ò ní rí irú rẹ̀ mọ́.	E ku aroti, a o ni ri iru re mo.	remove_accents_and_underdots	greetings
Ìyá Adé ẹ ṣeun, ẹ kú àrótì mi.	Iya Ade e seun, e ku aroti mi.	remove_accents_and_underdots	greetings
Adúpẹ́, ẹ kú àrótì.	Adupe, e ku aroti.	remove_accents_and_underdots	greetings
Ẹ ṣeun, ẹ kú àrótì mi, ire là ó má rí o.	E seun, e ku aroti mi, ire la o ma ri o.	remove_accents_and_underdots	greetings
Bísí ó ṣeun ó ku àrótì mi, ọmọ yóò tọ́jú ẹ.	Bisi o seun o ku aroti mi, omo yoo toju e.	remove_accents_and_underdots	greetings
Ẹ kù ìnáwó, Ẹlẹ́dàá yóò gbà áàjọ̀.	Ẹ ku inawo, Ẹlẹdaa yoo gba	remove_only_accents_and_any_random_word	greetings
Ẹ kú ṣíṣe òní o, Ẹlẹ́dàá yóò gbà áàjọ̀ o.	E ku sise oni o, Eledaa yoo gba aajo o.	remove_accents_and_underdots	greetings
Pẹ̀lẹ́, Ẹlẹ́dàá yóò gbà áàjọ̀ rẹ.	Pele, Eledaa yoo gba aajo re.	remove_accents_and_underdots	greetings
Ẹ kú àfokànsìn, Ẹlẹ́dàá yóò gbà áàjọ̀.	Ẹ ku afokansin, Ẹlẹdaa gba yoo aajọ.	remove_only_accents_and_swap_word	greetings
Ẹ kú àdúrà, Ẹlẹ́dàá yóò gbà áàjọ̀.	Ẹ ku adura, yoo gba aajọ.	remove_only_accents_and_any_random_word	greetings
Ẹ kù ọ̀rọ̀ ènìyàn tí bàbá àgbà o.	Ẹ ku ọrọ eniyan ti baba agba o.	remove_only_accents	greetings
Ẹ kú ọ̀rọ̀ ènìyàn, a ò ní rí irú rẹ̀ mọ́ o.	E ku oro eniyan, a o ni ri iru re mo o.	remove_accents_and_underdots	greetings
Ẹ kú àtẹ̀mọ́ra, ẹ sì kú ọ̀rọ̀ ènìyàn.	Ẹ ku atẹmọra, ẹ si ku ọrọ eniyan.	remove_only_accents	greetings
Ẹ kú ọ̀rọ̀ ènìyàn, ọjọ́ yóò jìn síra.	E ku oro eniyan, ojo yoo jin sira.	remove_accents_and_underdots	greetings
Bọlá pẹ̀lẹ́!, ó sì kú ọ̀rọ̀ ènìyàn.	Bola pele!, o si ku oro eniyan.	remove_accents_and_underdots	greetings
Ẹ pẹ̀lẹ́ níbè yẹn, ẹ sì kú ìfẹ́.	E pele nibe yen, e si ku ife.	remove_accents_and_underdots	greetings
Ẹ ṣeun àná, ẹ sì kú ìfẹ́.	E seun ana, e si ku ife.	remove_accents_and_underdots	greetings
Ẹ kú ìfẹ́ wá ìgbà gbogbo.	Ẹ ku ifẹ igba gbogbo.	remove_only_accents_and_any_random_word	greetings
Ẹ kú ìfẹ́, Ire là ó má bá ara wa ṣe.	Ẹ ku ifẹ, Ire la ma ba ara wa ṣe.	remove_only_accents_and_any_random_word	greetings
Ẹ kú ìfẹ́ ati ànawọ́sí àná.	E ku ife ati anawosi ana.	remove_accents_and_underdots	greetings
Ìyá Bísí ṣeun àná, ayo ni yóò fi gbà á.	Iya Bisi seun ana, ayo ni yoo fi gba a.	remove_accents_and_underdots	greetings
Gbogbo ẹgbẹ́, mo dúpẹ́ gidi ó, ayọ̀ lè ó fi gbà á.	Gbogbo egbe, mo dupe gidi o, ayo le o fi gba a.	remove_accents_and_underdots	greetings
Ayọ̀ lè ó fi gba gbogbo oore yín o.	Ayọ le o fi gbogbo oore yin o.	remove_only_accents_and_any_random_word	greetings
Ayọ̀ lè ó fi gba gbogbo ìṣe rere yín láṣẹ Èdùmàrè.	Ayo le o fi gba gbogbo ise rere yin lase Edumare.	remove_accents_and_underdots	greetings
Kunle gbìyànjú níbi ìnáwó àná rẹ, ayọ̀ ni yóò fi gba ìṣe rẹ gbogbo.	Kunle gbiyanju nibi inawo ana re, ayo ni yoo fi gba ise re gbogbo.	remove_accents_and_underdots	greetings
Ah! eléyìí máa lé  o, ẹ kú làásìgbò.	Ah! eleyii maa le  o, e ku laasigbo.	remove_accents_and_underdots	greetings
Ẹ kú ọ̀rọ̀ ènìyàn, ẹ sì kú làásìgbò yìí.	E ku oro eniyan, e si ku laasigbo yii.	remove_accents_and_underdots	greetings
Ẹ pẹ̀lẹ́, ẹ kú làásìgbò.	pẹlẹ, ẹ ku laasigbo.	remove_only_accents_and_any_random_word	greetings
Ẹ kú làásìgbò àwọn ará òkè Ọya.	Ẹ ku laasigbo Ọya. ara oke awọn	remove_only_accents_and_swap_word	greetings
Ẹ kú làásìgbò, Elédùmarè yóò tù yín lára.	E ku laasigbo, Eledumare yoo tu yin lara.	remove_accents_and_underdots	greetings
Ẹ kú oríire, ẹ̀yìn ìyàwó kò ní mọ ẹni.	E ku oriire, eyin iyawo ko ni mo eni.	remove_accents_and_underdots	greetings
Ẹ kú oríire ìgbáyàwo ọmọ yín, ẹyin ìyàwó kò ní mọ ẹni lágbára Ọlọ́run.	Ẹ ku oriire igbayawo ọmọ yin, ẹyin iyawo ko ni mọ ẹni lagbara Ọlọrun.	remove_only_accents	greetings
Ẹ̀yin ìyàwó kò ní mo ẹni, yóò bísun, bíwàlẹ̀ o.	Eyin iyawo ko ni mo eni, yoo bisun, biwale o.	remove_accents_and_underdots	greetings
Ìyá gbàdúrà fún ìyàwó pé ẹ̀yìn ìyàwó kò ní mọ ẹni.	Iya gbadura fun iyawo pe eyin iyawo ko ni mo eni.	remove_accents_and_underdots	greetings
Ẹ̀yin ìyàwó kò ní mọ ẹni ní gbogbo ẹbí ń gbàdúrà fún tọkọtaya.	Eyin iyawo ko ni mo eni ni gbogbo ebi n gbadura fun tokotaya.	remove_accents_and_underdots	greetings
Ẹ kú oriire, òwò èrè ni Ọlọ́run yóò pè é.	E ku oriire, owo ere ni Olorun yoo pe e.	remove_accents_and_underdots	greetings
Ẹ káábọ̀ sí ìgbéayé tuntun, òwò èrè ni Ọlọ́run yóò pè é.	E kaabo si igbeaye tuntun, owo ere ni Olorun yoo pe e.	remove_accents_and_underdots	greetings
Mo báa yín yọ̀, òwò èrè ni Ọlọ́run yóò pè é.	Mo baa yin yo, owo ere ni Olorun yoo pe e.	remove_accents_and_underdots	greetings
Fún tọkọtìyàwò, òwò èrè ni Ọlọ́run yóò pè é fún wa.	Fun tokotiyawo, owo ere ni Olorun yoo pe e fun wa.	remove_accents_and_underdots	greetings
òwò èrè ni Ọlọ́run yóò pè ìgbéyàwo yín.	owo ere ni Ọlọrun yoo pe igbeyawo yin.	remove_only_accents	greetings
Ẹ kú àkénù, Ọlọ́run yóò ṣe èyí tó dára.	E ku akenu, Olorun yoo se eyi to dara.	remove_accents_and_underdots	greetings
Ẹ kú àkénù mà ni wón kí ìdílé Olá láti àná.	E ku akenu ma ni won ki idile Ola lati ana.	remove_accents_and_underdots	greetings
Ẹ kú àkénù, èyí tó dára ní olórun yóò ṣe.	Ẹ ku akenu, ni to dara eyi olorun yoo ṣe.	remove_only_accents_and_swap_word	greetings
Ohùn Ẹ kú àkénù kò ní fọ si yin.	Ohun E ku akenu ko ni fo si yin.	remove_accents_and_underdots	greetings
Ẹ kú àkénù, èyí yóò jẹ àṣemọ nínú ìdílé yín.	Ẹ ku akenu, eyi yoo jẹ aṣemọ ninu idile yin.	remove_only_accents	greetings
Ìyá Ṣadé kí mi wípé àwòdì o ku ewu.	Iya Sade ki mi wipe awodi o ku ewu.	remove_accents_and_underdots	greetings
pẹ̀lẹ́! mo bá ọ yọ, àwòdì o ku ewu.	pẹlẹ! mo ba ọ yọ, awodi o ku ewu.	remove_only_accents	greetings
Àwòdì o ku ewu, Olóhun yọ ẹ́.	Awodi o ewu, Olohun yọ ẹ.	remove_only_accents_and_any_random_word	greetings
Ìyá àgbà ẹ kú ijọ́ mẹta, ẹ sì kú ewu àwòdì.	Iya agba e ku ijo meta, e si ku ewu awodi.	remove_accents_and_underdots	greetings
Gbogbo akẹ́kọ̀ọ́ ń kí olùkó àgbà pé àwòdì o kú ewu.	Gbogbo akekoo n ki oluko agba pe awodi o ku ewu.	remove_accents_and_underdots	greetings
Ẹ kú àjàlà tí ìjàmbá ọkọ náà.	E ku ajala ti ijamba oko naa.	remove_accents_and_underdots	greetings
Ẹ kú àjàlà iná náà.	E ku ajala ina naa.	remove_accents_and_underdots	greetings
Ayọ̀tẹ́tí kí ọ̀rẹ́ rẹ kú àjàlà ilé tí ó wó náà.	ki Ayọtẹti ọrẹ rẹ ku ajala ile ti o wo naa.	remove_only_accents_and_swap_word	greetings
Ẹ kú àjàlà ọkọ̀ ojú omi tó dánù.	E ku ajala oko oju omi to danu.	remove_accents_and_underdots	greetings
Ẹ kú oríire, ẹ sì kú àjàlà.	E ku oriire, e si ku ajala.	remove_accents_and_underdots	greetings
Àjàlá kí ọ̀rẹ́ rẹ̀ pé Ọlọ́run yóò fi òfò ra èémí.	Ajala ki ore re pe Olorun yoo fi ofo ra eemi.	remove_accents_and_underdots	greetings
Àgbẹdọ̀! A kì í kí olóyún wí pé Ọlọ́run yóò fi òfò ra èémí.	Agbẹdọ! A Ọlọrun i ki oloyun wi pe ki yoo fi ofo ra eemi.	remove_only_accents_and_swap_word	greetings
Ẹ pẹ̀lẹ́ ti ọkọ tí wọ́n gbé lọ, Ọlọ́run yóò fi òfò ra ẹ̀mí.	E pele ti oko ti won gbe lo, Olorun yoo fi ofo ra emi.	remove_accents_and_underdots	greetings
Ẹ Káàsán nílé yìí ó, Ọlọ́run yóò fi òfò ra èémí, a kò sì ní rí irú rẹ̀ mọ.	E Kaasan nile yii o, Olorun yoo fi ofo ra eemi, a ko si ni ri iru re mo.	remove_accents_and_underdots	greetings
Mo gbọ́ ìròyin aburú náà, ọlọ́run yóò fi òfò ra ẹ̀mí.	Mo gbọ aburu naa, ọlọrun yoo fi ofo ra ẹmi.	remove_only_accents_and_any_random_word	greetings
Ohun omi lọ́ dánù, Ọlọ́run kò ní jẹ́ kí agbè ó fọ́ hàn sí ẹ.	Ohun omi lo danu, Olorun ko ni je ki agbe o fo han si e.	remove_accents_and_underdots	greetings
Ẹ kú àmúmọ́ra, omi lọ dànù, Ọlọ́run kò jẹ ki àgbè kó fọ́.	Ẹ ku amumọra, omi lọ danu, Ọlọrun ko jẹ ki agbe ko fọ.	remove_only_accents	greetings
Ẹ má rò ó, omi lọ dànù, Ọlọ́run kò jẹ ki àgbè kó fọ́.	Ẹ ma ro o, omi lọ danu, Ọlọrun ko jẹ ki agbe ko fọ.	remove_only_accents	greetings
Ìyá àgbà gbàdúrà fún Bísí wí pé ayé ó ní pàrọwà pé omi lọ́ dànù àgbè kò ní fọ́ fún un.	Iya agba gbadura fun Bisi wi pe aye o ni parọwa pe omi lọ danu un. ko ni fọ fun agbe	remove_only_accents_and_swap_word	greetings
Àwọn ènìyàn pàrọwà fún ìyá ìkókó wí pé omi ló dànù, Ọlọ́run kò jẹ ki àgbè kó fọ́.	Awon eniyan parowa fun iya ikoko wi pe omi lo danu, Olorun ko je ki agbe ko fo.	remove_accents_and_underdots	greetings
Ẹ kú bí Ọlọ́run ti wí, gbogbo nǹkan yóò dára.	E ku bi Olorun ti wi, gbogbo nnkan yoo dara.	remove_accents_and_underdots	greetings
Ẹ kú bí Ọlọ́run ti wí, ẹ sì kú àmúmọ́ra.	E ku bi Olorun ti wi, e si ku amumora.	remove_accents_and_underdots	greetings
Wọn kí Ayọ̀ pé ó kú bí Ọlọ́run ti wí.	Wọn ki Ọlọrun pe o ku bi Ayọ ti wi.	remove_only_accents_and_swap_word	greetings
Ẹ kú bí Ọlọ́run ti wí, ọ̀nà mìíràn yóò sí.	Ẹ miiran bi Ọlọrun ti wi, ọna ku yoo si.	remove_only_accents_and_swap_word	greetings
Ẹ kú bí Ọlọ́run ti wí, èyí tó dára ní Ọlọ́run yóò ṣe.	E ku bi Olorun ti wi, eyi to dara ni Olorun yoo se.	remove_accents_and_underdots	greetings
Ẹ kú ọrọ̀ ènìyàn, Ọlọ́run yóò tí ilẹ̀kùn ìbànújẹ́.	E ku oro eniyan, Olorun yoo ti ilekun ibanuje.	remove_accents_and_underdots	greetings
Ọlọ́run yóò tì ilẹ̀kùn ìbànújẹ́ lágbára àwon alálẹ̀ ilẹ̀ yìí.	Olorun yoo ti ilekun ibanuje lagbara awon alale ile yii.	remove_accents_and_underdots	greetings
Ọlọ́run yóò ti ilẹ̀kùn ìbànújẹ́ fún àwọn ẹbí olákúnlé, ìrora náà tí pọ̀jù.	Ọlọrun yoo ti ilẹkun olakunle, fun awọn ẹbi ibanujẹ irora naa ti pọju.	remove_only_accents_and_swap_word	greetings
Ẹ kú ọ̀fọ̀, Ọlọ́run yóò ti ilẹ̀kùn ìbànújẹ́.	E ku ofo, Olorun yoo ti ilekun ibanuje.	remove_accents_and_underdots	greetings
Bàbà àgbà wí pé Ọlọ́run yóò ti ilẹ̀kùn ìbànújẹ́ tí ó wà nínú ebi àwọn.	Baba agba wi pe Olorun yoo ti ilekun ibanuje ti o wa ninu ebi awon.	remove_accents_and_underdots	greetings
Ẹ kú àtẹ̀yìnkú, Ọlọ́run yóò dá ibi dúró.	E ku ateyinku, Olorun yoo da ibi duro.	remove_accents_and_underdots	greetings
Ẹ kú àtẹ̀yìnkú, a ó ní rí irú rẹ̀ mọ.	Ẹ ku atẹyinku, a o ni ri iru rẹ mọ.	remove_only_accents	greetings
Ẹ kú àtẹ̀yìnkú, àwọn tó kù a dàgbà.	E ku ateyinku, awon to ku a dagba.	remove_accents_and_underdots	greetings
Ẹ kú àtẹ̀yìnkú, ire là ó má rí.	E ku ateyinku, ire la o ma ri.	remove_accents_and_underdots	greetings
Ẹ kú àtẹ̀yìnkú, Ọlọ́run yóò ṣe èyí ní áṣemọ.	E ku ateyinku, Olorun yoo se eyi ni asemo.	remove_accents_and_underdots	greetings
Olórí ebi kí àwọn ará ilé kú àyọ́lọ.	Olori ebi ki awọn ara ile ayọlọ.	remove_only_accents_and_any_random_word	greetings
Ẹ kú àyọ́lọ, ibi yóò lọ pin.	E ku ayolo, ibi yoo lo pin.	remove_accents_and_underdots	greetings
Ẹ kú àyọ́lọ, a ó ní rí eléyìí mọ.	E ku ayolo, a o ni ri eleyii mo.	remove_accents_and_underdots	greetings
Ẹ kú àyọ́lọ, àwọn tó kù yóò di irú di igba mo yín lọ́wọ́.	E ku ayolo, awon to ku yoo di iru di igba mo yin lowo.	remove_accents_and_underdots	greetings
Ẹ kú àyọ́lọ, Ọlọ́run á dúró tì yín .	Ẹ ku ayọlọ, Ọlọrun a duro ti yin .	remove_only_accents	greetings
Ẹ kú ọdún, ẹ̀mí wà yóò ṣe ọ̀pọ̀lọpọ̀ rẹ.	E ku odun, emi wa yoo se opolopo re.	remove_accents_and_underdots	greetings
Ẹ kú ọdún, Ọlọ́run kò ní ṣe ni àṣemọ fún wa.	E ku odun, Olorun ko ni se ni asemo fun wa.	remove_accents_and_underdots	greetings
Ẹ kú ọdún, ojú wa yóò má rí ọdún.	E ku odun, oju wa yoo ma ri odun.	remove_accents_and_underdots	greetings
Àwọn olùjọsìn kí ara wọn kú ọdún.	Awon olujosin ki ara won ku odun.	remove_accents_and_underdots	greetings
Ẹ kú ọdún ẹ̀yin akọrin.	Ẹ ku ọdun ẹyin akọrin.	remove_only_accents	greetings
Ẹ kú ìyèdún kò ní jẹ́ ni àṣemọ fún wa.	E ku iyedun ko ni je ni asemo fun wa.	remove_accents_and_underdots	greetings
Ẹ kú ìyèdún ọdún ìya wa.	Ẹ iyedun ọdun iya wa.	remove_only_accents_and_any_random_word	greetings
Ẹ kú ìyèdún a sì ku pọ̀pọ̀ṣìnṣìn.	Ẹ ku iyedun a si ku pọpọṣinṣin.	remove_only_accents	greetings
Ẹ kú ìyèdún ẹ̀yin ọ̀rẹ́.	E ku iyedun eyin ore.	remove_accents_and_underdots	greetings
Ẹ kú ìyèdún, ara ire là ó fi ṣọdún o.	E ku iyedun, ara ire la o fi sodun o.	remove_accents_and_underdots	greetings
Ẹ kú oríire o, odún ó ya abo.	Ẹ ku oriire o, odun o ya abo.	remove_only_accents	greetings
Ẹ ṣeun, odún ó ya abo.	E seun, odun o ya abo.	remove_accents_and_underdots	greetings
Ẹ káábọ̀ sí ọdún tuntun, odún ó ya abo.	Ẹ si ọdun tuntun, odun o ya abo.	remove_only_accents_and_any_random_word	greetings
Ẹ kú àjọ̀dún, ọdún á ya abo.	E ku ajodun, odun a ya abo.	remove_accents_and_underdots	greetings
Ọdún á ya abo fún gbogbo wa.	Odun a ya abo fun gbogbo wa.	remove_accents_and_underdots	greetings
Ẹ kú ọjọ́ mẹ́ta, ẹ sì kú ìpalẹ̀mọ ọdún.	Ẹ ku ọjọ mẹta, ẹ si ku ipalẹmọ ọdun.	remove_only_accents	greetings
Gómínà ń kí wa pé a kú ìpalẹ̀mọ ọdún.	Gomina n ki wa pe a ku ipalemo odun.	remove_accents_and_underdots	greetings
A kú ìpalẹ̀mọ ọdún, á bá wa láyé.	A ku ipalemo odun, a ba wa laye.	remove_accents_and_underdots	greetings
